00.ogg      この本は面白いから、あなたも読んでみませんか？
01.ogg      そこはちょっと...
02.ogg      ワーイ
03.ogg      あ...あたらしい情報です。
04.ogg      むー
05.ogg      ドンドン
06.ogg      ええっ？
07.ogg      どこを触るつもりです？
08.ogg      さむいから、家で本を読もう！
09.ogg      外が暑いから、本屋で本を読もう！
10.ogg      ふー、本を読み過ぎで、ちょっと寝よう。
11.ogg      週末か...どこかへ遊びに行くつもりですか？
12.ogg      良いお年を。あなたはこの一年をどう過ごしていましたか？
13.ogg      いつも一人でほんをよむから、友達があまりいません。
14.ogg      メガネが壊れるから、やめてよ。
15.ogg      かふんしょうのせいで、図書館で本を読もう！
16.ogg      夜が静かなので、わたし、好き。
17.ogg      読書の秋なので、*一*緒に新しい本を買いましょう！
18.ogg      あなたがここにいると、なんだかさび*しくなくな*りますね。
19.ogg      本を読んでいる最中だから、少しだけ待ちなさい。
20.ogg      ハロウィンのセリフって、あの...、フェス or ブックですか？
21.ogg      うんー
22.ogg      おすすめの本って？あの...「Ruby on Rails チュートリアル」はどう思います？
23.ogg      あけましておめでとうございます！悔しくならないように、今年もお互い頑張りましょう！
24.ogg      バレンタインデーに、恋人とフェイスブックを読んで、特別な気分に浸れて私は好きです。
25.ogg      にゃんー
26.ogg      今日のパーティーで、「Go Programming」の本のプレセントをよういしたのに、みんなが微妙な顔をしました。おかしいです。
